nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
DEN,D17,5883,01:38:03,00:22:31,22:31,04:31,13.32,266,00:44:59,22:28,04:30,13.35,273,01:08:27,23:27,04:42,12.79,286,01:32:42,24:15,04:52,12.37,301,5883,01:38:03,05:20,04:53,12.32
SWE,H17,4903,01:21:43,00:19:00,19:00,03:49,15.78,333,00:37:44,18:43,03:45,16.03,315,00:57:17,19:33,03:55,15.34,319,01:17:33,20:16,04:04,14.80,323,4903,01:21:43,04:09,03:48,15.81
SWE,D17,5884,01:38:04,00:22:42,22:42,04:33,13.21,316,00:45:16,22:33,04:31,13.30,303,01:08:53,23:37,04:44,12.70,316,01:32:59,24:06,04:50,12.45,323,5884,01:38:04,05:05,04:39,12.93
SWE,H35,4903,01:21:43,00:19:11,19:11,03:51,15.64,381,00:37:55,18:43,03:45,16.02,338,00:57:23,19:28,03:54,15.40,332,01:17:29,20:06,04:02,14.93,319,4903,01:21:43,04:13,03:52,15.55
SWE,H40,4903,01:21:43,00:19:26,19:26,03:54,15.43,472,00:38:39,19:12,03:51,15.62,445,00:58:07,19:28,03:54,15.40,400,01:17:38,19:31,03:55,15.37,330,4903,01:21:43,04:05,03:44,16.11
SWE,D40,5885,01:38:05,00:22:30,22:30,04:31,13.33,262,00:45:04,22:33,04:31,13.30,285,01:08:41,23:37,04:44,12.70,299,01:32:57,24:16,04:52,12.36,321,5885,01:38:05,05:07,04:41,12.83
SWE,H17,4904,01:21:44,00:19:14,19:14,03:51,15.59,399,00:38:01,18:46,03:46,15.97,345,00:57:15,19:13,03:51,15.60,315,01:17:11,19:56,04:00,15.05,307,4904,01:21:44,04:32,04:09,14.50
SWE,D40,5885,01:38:05,00:22:52,22:52,04:35,13.11,367,00:45:23,22:30,04:31,13.33,328,01:09:23,23:59,04:48,12.50,356,01:33:14,23:51,04:47,12.58,336,5885,01:38:05,04:51,04:26,13.57
SWE,D17,5885,01:38:05,00:23:35,23:35,04:44,12.72,619,00:46:48,23:13,04:39,12.91,545,01:10:04,23:15,04:40,12.90,425,01:33:22,23:18,04:40,12.87,343,5885,01:38:05,04:42,04:18,13.96
SWE,H17,4904,01:21:44,00:19:00,19:00,03:49,15.79,327,00:37:45,18:45,03:46,15.99,319,00:57:22,19:36,03:56,15.30,330,01:17:28,20:05,04:02,14.93,317,4904,01:21:44,04:16,03:55,15.38
SWE,D35,5885,01:38:05,00:23:09,23:09,04:38,12.95,436,00:45:44,22:35,04:32,13.28,372,01:09:22,23:38,04:44,12.69,355,01:33:03,23:40,04:45,12.67,326,5885,01:38:05,05:01,04:36,13.08
